df_ind,title,brand,glowpick_exist
92,바나다왁싱 201 하드왁스 셀프 제모 재료 500g,바나다왁싱,O
93,보나쥬르 비건 그린티 워터밤 수분크림 100ml,보나쥬르,O
94,프리메라 바하 버블 필링 클렌저 200ml,프리메라,O
95,앙방 맥주효모 천연 약산성 지성 건성 민감성 모근강화 탈모 케어 방지 완화 예방 600ml 남성 여성 남자 여자 청소년 샴푸,앙방,O
96,플라이코 FH6232KR 접이식 2000W 화이트 EDITION 헤어드라이기 1개,플라이코,O
97,비비드온 블링 에센스 톤업 크림 100g 톤업선크림 썬베이스 메이크업베이스,비비드온,O
98,산다화 비타민C 화이트닝 에센스 30ml,산다화,O
99,엘리메르 아보카모 헤어팩 트리트먼트 대용량 300ml,엘리메르,O
100,닥터방기원 랩 탈모샴푸 1000mlx2통,닥터방기원,O
101,원씽 병풀 추출물 병풀 원액,원씽,O
102,엠도씨 화이트닝 스킨 플러스 로션,엠도씨,O
103,삐아 라스트 벨벳 립 틴트 4 5g,삐아,O
104,치노시오야 내추럴 포어 클렌징오일,치노시오야,O
105,★7/17~18 후기검증 특가★여드름1등토너 에센허브 비건 티트리 90 카밍 토너 320ml,에센허브,O
106,아던샵 레이스 쌍꺼풀테이프 쌍테 (휴대용케이스 세트),아던샵,O
107,[홀리카홀리카] 홀리팝 쌍테라이너 0.5g,홀리카홀리카,O
108,문샷 마이크로 카밍핏 쿠션 본품 15g SPF 50+PA++++,문샷,O
109,3CE 블러 워터 틴트 4.6g (+미니 파운데이션 증정),3CE,O
110,[닥터지] 약산성 레드 블레미쉬 클리어 수딩 폼 150ml,닥터지,O
111,아이오페 스템Ⅲ 2종 기획세트(소프너+에멀젼),아이오페,O
112,닥터방기원 랩 탈모샴푸 1000mlx3+랩 헤어탈모토닉 150ml 세트,닥터방기원,O
113,어뮤즈  듀 틴트 (4g) (11종 택 1),어뮤즈,O
114,헤라 에어리 파우더 프라이머 8.5G (파우더 타입 프라이머),헤라,O
115,스틸라 매그니피슨트 메탈스 글리터 앤 글로우 리퀴드 아이섀도 4.5ml,스틸라,O
116,엘리자베스아덴 그린티 센트 스프레이 100ml,엘리자베스아덴,O
117,[샵앤스토리] 젤 네일스티커 페디큐어 24pcs 500종 셀프네일케어 패디 패치 스티커,샵앤스토리(자체제작),X
118,미쟝센 퍼펙트세럼 트리트먼트 330ML [ 극손상모 ㅣ 아르간오일 ㅣ 머릿결 좋아지는법 ㅣ 홈케어 ],미쟝센,O
119,(20%쿠폰)루나 스테디셀러 롱래스팅 팁 컨실러 모음전+미니컨실러,루나,O
120,[닥터지] 브라이트닝 업 선 플러스 50ml/ 유분기 없는 뽀송한 선크림 / 화사한 톤업 선 베이스,닥터지,O
121,[1+1] 마녀공장 바닐라부티크 허그 향수 40ml / 재판매요청 1위/ 자연유래 성분,마녀공장,O
122,[바이빠세] 미셀라 솔루션 클렌징 워터 500ml,바이빠세,O
123,하다라보 NEW고쿠쥰 2종 세트 (로션+밀크),하다라보,O
124,한율 달빛유자 C™ 세럼 30ml+[N페이 2천점],한율,O
125,"[300ml, 젠더리스] 이퀄베리 수영장토너 300ml /약산성 닦토 대용량 스킨 진정 모공 각질 지성 수분",이퀄베리,O
126,[에스쁘아] 워터 스플래쉬 톤업 쿠션 13g  SPF50+ PA+++,에스쁘아,O
127,더랩바이블랑두 올리고 히알루론산 카밍+ 크림 50ml,더랩 바이 블랑두,O
128,푸드어홀릭 아카시아 모이스처 핸드크림 100ml,푸드어홀릭,O
129,에스트라 아토베리어365 크림 80ml / 로션 150ml,에스트라,O
130,설화수 탄력에센셜 3종세트(자음수/자음유액125ml+탄력크림45ml)[N페이1만원],설화수,O
131,[대용량증정] 싸이닉 퍼스트 트리트먼트 에센스 150ml+215ml,싸이닉,O
132,[그레이멜린] 카놀라 크레이지 클렌징오일,그레이멜린,O
133,헤라 센슈얼 프레쉬 누드 틴트 7ml,헤라,O
134,[닥터지] 레드 블레미쉬 클리어 수딩 크림 70ml / 진정강한 수분크림/ 진정크림,닥터지,O
135,삐아 섀이드 앤 섀도우,삐아,O
136,심수련 톤업크림 / VB 프리미엄 톤업크림 50ml,나인위시스,O
137,려 촘촘커버 헤어 탈모쿠션 13g (옵션) [ 새치커버 ㅣ 헤어라인쉐도우 ㅣ 흑채 ],려,O
138,닥터방기원 쿨 탈모샴푸 1000ml,닥터방기원,O
139,[닥터지] 레드 블레미쉬 포 맨 올인원 플루이드 150ml/ 남성 라이프 스타일 최적화 로션 / 수분 진정 / 미백 기능,닥터지,O
140,[닥터바이오] 올인원 클렌저 500ml / 얼굴 바디 머리 전부 올인원 샴푸 앤 바디워시,닥터바이오,O
141,이네이처 스퀴즈 그린 워터리 시트 마스크 세트(10매입),이네이처,O
142,[라피타] H2 수소 아쿠아 워터 필링기 JOC-H2 1개,라피타,O
143,닥터올가 호호바티트리 천연샴푸 500ml,닥터올가,O
144,롬앤 쥬시 래스팅 틴트 #베어쥬시 4color (5.5g),롬앤,O
145,[닥터지] 레드 블레미쉬 시카 수딩 크림 50ml 듀오 / 한층 더 강화된 진정 시카 수분크림 비건화장품,닥터지,O
146,헤드랑W 홈케어 경락기구 옆광대 안면비대칭 얼굴마사지,에스피티(자체제작),X
147,더블유드레스룸 1+1 페브클린 섬유탈취제 500ml (신규향 출시),더블유드레스룸,O
148,[이글립스] 스틱섀도우 1&2 (6color/2g),이글립스,O
